type,integration_method,homology_method,cLISI_scaled,silhouette_scaled,NMI_scaled,ARI_scaled,cLISI_scaled_rank,silhouette_scaled_rank,ARI_scaled_rank,NMI_scaled_rank,homology_method_intg,integration_method_intg,acc_loss,acc_avg,acc_loss_scaled,acc_loss_scaled_rank,avg_score
scanorama stronger homology,scanorama,stronger homology,0.9964888973495889,0.4671081813481669,0.8483737570475048,0.7888421718084566,11,16,11,13,stronger homology,scanorama,0.005454849356223979,0.010785788210440794,0.9713544733534614,10,0.9321242290604549
seuratCCA stronger homology,seuratCCA,stronger homology,0.9990551407507897,0.987853163563115,0.9519975374391838,0.9591707062553335,3,2,8,7,stronger homology,seuratCCA,0.004436519417324036,0.02896821202603761,0.9140686754608016,19,0.9261587677690626
scanorama one2one only,scanorama,one2one only,0.9977946863235576,0.38869878268877306,0.8627027383511885,0.8031761479523173,10,18,10,11,one2one only,scanorama,0.008509839172924805,0.012313283118791207,0.9665419266056087,12,0.9258521590502787
seuratCCA higher expression,seuratCCA,higher expression,1,1,0.8867145020596082,0.806660668668917,1,1,9,9,higher expression,seuratCCA,0.007491509234024418,0.027522045082221225,0.9186249891900772,18,0.9195687498884881
scanorama higher expression,scanorama,higher expression,0.9978257519926674,0.4564796282563054,0.8422588704288793,0.7779853120187659,9,17,13,14,higher expression,scanorama,0.006618655000681595,0.01561577939290748,0.9561370358155258,15,0.9186371067872515
SAMap full,SAMap,full,1,0.25606087348124557,0.8523793571636532,0.6782773930799179,1,23,17,12,full,SAMap,0.0015709222738343742,0.011394743278467179,0.9694358910287689,11,0.914884594009256
scVI one2one only,scVI,one2one only,0.891385822064844,0.3434902843803772,0.7226492181039321,0.7348557106097563,17,22,14,17,one2one only,scVI,0.005745800767338438,0.01010765494819682,0.9734910094610333,9,0.913411859326772
scVI higher expression,scVI,higher expression,0.6116928014081382,0.36406781373700964,0.5525534371029398,0.36923355402481034,19,19,21,21,higher expression,scVI,3.63199661723268e-4,0.008265972067436844,0.9792934412137838,8,0.8783121332846721
scVI stronger homology,scVI,stronger homology,0,0.3558259211694339,0,0,20,20,25,25,stronger homology,scVI,0.0038546165950952282,0.0074628275179799974,0.9818238396252053,6,0.803250367758636
LIGER_UINMF one2one only,LIGER_UINMF,one2one only,0.9437584883663771,0.04382511243829932,0.4593268833956456,0.35570882377059404,15,24,22,22,one2one only,LIGER_UINMF,0.06800940274580802,0.08496875734363551,0.7376325768703151,20,0.6802370268947978
LIGER higher expression,LIGER,higher expression,0.9844145967126708,0.6133347674205819,0.644111081892092,0.5752902274977457,13,13,18,18,higher expression,LIGER,0.06451798581243606,0.12018141761101925,0.6266910786521347,23,0.6422103965978623
LIGER_UINMF stronger homology,LIGER_UINMF,stronger homology,0.9146308966918387,0,0.4493989801629098,0.32390917955408055,16,25,23,23,stronger homology,LIGER_UINMF,0.05724420053457724,0.09870255385909066,0.6943626861526427,21,0.6398871017425557
LIGER_UINMF higher expression,LIGER_UINMF,higher expression,0.9640553272852788,0.34812794527006513,0.5895359816035569,0.39377773077925315,14,21,20,20,higher expression,LIGER_UINMF,0.05302540507341924,0.11358550956946323,0.6474722384589493,22,0.6327526400140671
LIGER stronger homology,LIGER,stronger homology,0.8668335475419497,0.644332685423644,0.4467753814088623,0.2411244668911721,18,10,24,24,stronger homology,LIGER,0.13696488717990762,0.19846094306111012,0.38006251474083697,24,0.414003315855951
LIGER one2one only,LIGER,one2one only,0.989997704238512,0.516208574408902,0.5925968011429907,0.5369990516131742,12,15,19,19,one2one only,LIGER,0.39692997301057387,0.31739845623982477,0.0053363280172127325,25,0.13605916898394915
