integration_method,homology_method,species_dir,adj_rand_score,pct_cell_type_kept,from_species,to_species,task_name,type
scANVI,HE,mfascicularis to mmusculus,0.9854318938867964,1,mfascicularis,mmusculus,Heart_hs_mf_mm_xl_dr,scANVI HE
scANVI,O2O,mfascicularis to mmusculus,0.985232209932652,1,mfascicularis,mmusculus,Heart_hs_mf_mm_xl,scANVI O2O
fastMNN,HE,xtropicalis to hsapiens,0.9850914573271574,1,xtropicalis,hsapiens,Heart_hs_xl,fastMNN HE
scANVI,SH,mfascicularis to mmusculus,0.9846105046726452,1,mfascicularis,mmusculus,Heart_hs_mf_mm,scANVI SH
scANVI,SH,mfascicularis to drerio,0.984571857587156,1,mfascicularis,drerio,Heart_mf_dr,scANVI SH
SeuratV4 CCA,HE,mfascicularis to mmusculus,0.9842834721196156,1,mfascicularis,mmusculus,Heart_mf_mm,SeuratV4 CCA HE
scANVI,HE,mfascicularis to mmusculus,0.9842638636639344,1,mfascicularis,mmusculus,Heart_mf_mm,scANVI HE
scANVI,HE,drerio to hsapiens,0.984031548764321,1,drerio,hsapiens,Heart_hs_dr,scANVI HE
fastMNN,SH,xtropicalis to hsapiens,0.9835391992933468,1,xtropicalis,hsapiens,Heart_hs_mf_mm_xl,fastMNN SH
scANVI,O2O,mfascicularis to mmusculus,0.983279242933178,1,mfascicularis,mmusculus,Heart_hs_mf_mm,scANVI O2O
fastMNN,HE,xtropicalis to hsapiens,0.9827785958103756,1,xtropicalis,hsapiens,Heart_hs_mf_mm_xl,fastMNN HE
SeuratV4 CCA,O2O,mfascicularis to mmusculus,0.9827039948332554,1,mfascicularis,mmusculus,Heart_mf_mm,SeuratV4 CCA O2O
scANVI,HE,drerio to mmusculus,0.9826567736640628,1,drerio,mmusculus,Heart_mm_dr,scANVI HE
scANVI,HE,mfascicularis to mmusculus,0.9826429043192992,1,mfascicularis,mmusculus,Heart_hs_mf_mm,scANVI HE
scANVI,HE,xtropicalis to hsapiens,0.982576250234944,1,xtropicalis,hsapiens,Heart_hs_xl,scANVI HE
scANVI,O2O,hsapiens to mmusculus,0.9825020347610884,1,hsapiens,mmusculus,Pancreas_hs_mm,scANVI O2O
SeuratV4 RPCA,HE,mmulatta to hsapiens,0.982413047126002,1,mmulatta,hsapiens,Hippocampus_hs_mu_ss,SeuratV4 RPCA HE
fastMNN,O2O,xtropicalis to hsapiens,0.9823665190903248,1,xtropicalis,hsapiens,Heart_hs_xl,fastMNN O2O
SeuratV4 CCA,SH,mfascicularis to mmusculus,0.9821293938503778,1,mfascicularis,mmusculus,Heart_mf_mm,SeuratV4 CCA SH
LIGER UINMF,O2O,sscrofa to hsapiens,0.9821277388039475,0.8181818181818182,sscrofa,hsapiens,Hippocampus_hs_mu_ss,LIGER UINMF O2O
scANVI,SH,mmusculus to hsapiens,0.982023860119214,1,mmusculus,hsapiens,Pancreas_hs_mm,scANVI SH
fastMNN,O2O,xtropicalis to hsapiens,0.9817335770897164,1,xtropicalis,hsapiens,Heart_hs_mf_mm_xl,fastMNN O2O
scANVI,SH,xtropicalis to mmusculus,0.9811092165456088,1,xtropicalis,mmusculus,Heart_hs_mf_mm_xl,scANVI SH
SeuratV4 RPCA,SH,sscrofa to hsapiens,0.980217139266452,1,sscrofa,hsapiens,Hippocampus_hs_mu_ss,SeuratV4 RPCA SH
SeuratV4 CCA,SH,mfascicularis to mmusculus,0.9796135739410996,1,mfascicularis,mmusculus,Heart_hs_mf_mm,SeuratV4 CCA SH
fastMNN,SH,xtropicalis to mmusculus,0.9795987881973008,1,xtropicalis,mmusculus,Heart_hs_mf_mm_xl,fastMNN SH
scANVI,HE,hsapiens to mmusculus,0.9795419985254438,1,hsapiens,mmusculus,Heart_hs_mf_mm,scANVI HE
scANVI,HE,hsapiens to mmusculus,0.9793912360797804,1,hsapiens,mmusculus,Heart_hs_mm,scANVI HE
scANVI,O2O,drerio to mfascicularis,0.9790554521775714,1,drerio,mfascicularis,Heart_mf_dr,scANVI O2O
scANVI,SH,xtropicalis to hsapiens,0.9789411912717828,1,xtropicalis,hsapiens,Heart_hs_xl,scANVI SH
fastMNN,O2O,xtropicalis to mmusculus,0.9789003527670458,1,xtropicalis,mmusculus,Heart_hs_mf_mm_xl,fastMNN O2O
scANVI,O2O,drerio to mfascicularis,0.9787567454949292,1,drerio,mfascicularis,Heart_hs_mf_mm_xl_dr,scANVI O2O
scANVI,HE,hsapiens to mfascicularis,0.9784951343356468,1,hsapiens,mfascicularis,Heart_hs_mf_mm_xl,scANVI HE
fastMNN,HE,xtropicalis to mmusculus,0.9783268342941212,1,xtropicalis,mmusculus,Heart_hs_mf_mm_xl,fastMNN HE
scANVI,O2O,mmusculus to hsapiens,0.978090172628358,1,mmusculus,hsapiens,Pancreas_hs_mm,scANVI O2O
SeuratV4 CCA,HE,mfascicularis to mmusculus,0.9778905278434592,1,mfascicularis,mmusculus,Heart_hs_mf_mm,SeuratV4 CCA HE
SeuratV4 RPCA,SH,mmulatta to hsapiens,0.977718720038873,1,mmulatta,hsapiens,Hippocampus_hs_mu_ss,SeuratV4 RPCA SH
scANVI,O2O,hsapiens to mmusculus,0.9776717627135476,1,hsapiens,mmusculus,Heart_hs_mf_mm,scANVI O2O
scANVI,SH,hsapiens to mmusculus,0.977484141688587,1,hsapiens,mmusculus,Heart_hs_mf_mm_xl,scANVI SH
scANVI,HE,xtropicalis to mmusculus,0.9774217782586736,1,xtropicalis,mmusculus,Heart_hs_mf_mm_xl,scANVI HE
scANVI,SH,drerio to hsapiens,0.9770227386657888,1,drerio,hsapiens,Heart_hs_mf_mm_xl_dr,scANVI SH
scANVI,SH,mmusculus to mfascicularis,0.9767883176011638,1,mmusculus,mfascicularis,Heart_hs_mf_mm_xl_dr,scANVI SH
SeuratV4 CCA,O2O,mfascicularis to mmusculus,0.976656047794295,1,mfascicularis,mmusculus,Heart_hs_mf_mm,SeuratV4 CCA O2O
scANVI,HE,mmusculus to hsapiens,0.976435940037152,1,mmusculus,hsapiens,Pancreas_hs_mm,scANVI HE
Harmony,SH,hsapiens to mmusculus,0.9764013523223674,0.9090909090909092,hsapiens,mmusculus,Heart_hs_mf_mm,Harmony SH
scANVI,O2O,mfascicularis to drerio,0.9760561012985702,1,mfascicularis,drerio,Heart_mf_dr,scANVI O2O
scANVI,HE,hsapiens to mmusculus,0.9756838559687288,1,hsapiens,mmusculus,Heart_hs_mf_mm_xl_dr,scANVI HE
fastMNN,SH,mfascicularis to mmusculus,0.975633578249207,1,mfascicularis,mmusculus,Heart_hs_mf_mm,fastMNN SH
scANVI,O2O,mmusculus to mfascicularis,0.9749068098352824,1,mmusculus,mfascicularis,Heart_mf_mm,scANVI O2O
fastMNN,HE,mfascicularis to mmusculus,0.974801839717924,1,mfascicularis,mmusculus,Heart_hs_mf_mm,fastMNN HE
scANVI,HE,xtropicalis to hsapiens,0.974796097119823,1,xtropicalis,hsapiens,Heart_hs_mf_mm_xl,scANVI HE
Harmony,HE,hsapiens to mmusculus,0.9747733502057792,1,hsapiens,mmusculus,Heart_hs_mf_mm,Harmony HE
scANVI,O2O,hsapiens to mmulatta,0.9746042705697862,1,hsapiens,mmulatta,Hippocampus_hs_mu_ss,scANVI O2O
fastMNN,O2O,mfascicularis to mmusculus,0.9744210554481432,1,mfascicularis,mmusculus,Heart_hs_mf_mm,fastMNN O2O
scANVI,O2O,xtropicalis to hsapiens,0.9742657188884088,1,xtropicalis,hsapiens,Heart_hs_xl,scANVI O2O
Harmony,O2O,mfascicularis to mmusculus,0.9742093680778936,1,mfascicularis,mmusculus,Heart_hs_mf_mm,Harmony O2O
Harmony,SH,xtropicalis to hsapiens,0.9740722593465192,1,xtropicalis,hsapiens,Heart_hs_xl,Harmony SH
SeuratV4 CCA,O2O,xtropicalis to hsapiens,0.9737946224663836,1,xtropicalis,hsapiens,Heart_hs_xl,SeuratV4 CCA O2O
scANVI,HE,drerio to hsapiens,0.9737784921298858,1,drerio,hsapiens,Heart_hs_mf_mm_xl_dr,scANVI HE
scANVI,O2O,hsapiens to mmusculus,0.9737528971838552,0.9090909090909092,hsapiens,mmusculus,Heart_hs_mf_mm_xl,scANVI O2O
scANVI,SH,hsapiens to mmulatta,0.9734607837945976,1,hsapiens,mmulatta,Hippocampus_hs_mu_ss,scANVI SH
scANVI,SH,hsapiens to mmusculus,0.9731155532516432,1,hsapiens,mmusculus,Heart_hs_mf_mm,scANVI SH
scANVI,HE,mfascicularis to drerio,0.9724506257473052,1,mfascicularis,drerio,Heart_mf_dr,scANVI HE
Harmony,SH,mmulatta to hsapiens,0.9724091972335972,1,mmulatta,hsapiens,Hippocampus_hs_mu_ss,Harmony SH
scANVI,O2O,xtropicalis to hsapiens,0.9723318440517564,1,xtropicalis,hsapiens,Heart_hs_mf_mm_xl_dr,scANVI O2O
Harmony,SH,sscrofa to hsapiens,0.971598160426422,1,sscrofa,hsapiens,Hippocampus_hs_mu_ss,Harmony SH
scVI,O2O,hsapiens to mmulatta,0.971588796329236,1,hsapiens,mmulatta,Hippocampus_hs_mu_ss,scVI O2O
scANVI,O2O,hsapiens to mmusculus,0.9715693450840228,0.9090909090909092,hsapiens,mmusculus,Heart_hs_mf_mm_xl_dr,scANVI O2O
scANVI,HE,hsapiens to mmusculus,0.9715341983202844,1,hsapiens,mmusculus,Heart_hs_mf_mm_xl,scANVI HE
scANVI,SH,mmusculus to mfascicularis,0.9714832241711456,1,mmusculus,mfascicularis,Heart_mf_mm,scANVI SH
scANVI,HE,mmusculus to mfascicularis,0.9713318572645908,1,mmusculus,mfascicularis,Heart_hs_mf_mm_xl,scANVI HE
scANVI,O2O,hsapiens to mmusculus,0.9712112970893017,1,hsapiens,mmusculus,Heart_hs_mm,scANVI O2O
scANVI,SH,hsapiens to mfascicularis,0.97110701451111,1,hsapiens,mfascicularis,Heart_hs_mf_mm_xl_dr,scANVI SH
SeuratV4 CCA,SH,xtropicalis to hsapiens,0.9710575540748988,1,xtropicalis,hsapiens,Heart_hs_xl,SeuratV4 CCA SH
fastMNN,HE,xtropicalis to mmusculus,0.9708031296836852,1,xtropicalis,mmusculus,Heart_hs_mf_mm_xl_dr,fastMNN HE
Scanorama,O2O,mmulatta to hsapiens,0.9706754585272694,1,mmulatta,hsapiens,Hippocampus_hs_mu_ss,Scanorama O2O
SeuratV4 CCA,HE,xtropicalis to hsapiens,0.9706386552437072,1,xtropicalis,hsapiens,Heart_hs_xl,SeuratV4 CCA HE
Harmony,O2O,sscrofa to hsapiens,0.9705634213115406,1,sscrofa,hsapiens,Hippocampus_hs_mu_ss,Harmony O2O
scANVI,O2O,hsapiens to mfascicularis,0.9705617586864096,1,hsapiens,mfascicularis,Heart_hs_mf_mm_xl_dr,scANVI O2O
Harmony,HE,xtropicalis to hsapiens,0.9705186819197684,1,xtropicalis,hsapiens,Heart_hs_xl,Harmony HE
scANVI,O2O,mmusculus to mfascicularis,0.9705053301333548,1,mmusculus,mfascicularis,Heart_hs_mf_mm,scANVI O2O
fastMNN,SH,xtropicalis to mmusculus,0.9704463062731612,0.8571428571428571,xtropicalis,mmusculus,Heart_hs_mf_mm_xl_dr,fastMNN SH
scANVI,SH,hsapiens to mfascicularis,0.9700894738031918,1,hsapiens,mfascicularis,Heart_hs_mf_mm_xl,scANVI SH
scANVI,O2O,drerio to mmusculus,0.9700036103952088,1,drerio,mmusculus,Heart_mm_dr,scANVI O2O
LIGER UINMF,O2O,mmulatta to hsapiens,0.9699411843846352,0.9166666666666666,mmulatta,hsapiens,Hippocampus_hs_mu_ss,LIGER UINMF O2O
fastMNN,HE,hsapiens to mmulatta,0.9696968222307676,0.8333333333333334,hsapiens,mmulatta,Hippocampus_hs_mu_ss,fastMNN HE
scANVI,O2O,mfascicularis to xtropicalis,0.9694084686071572,1,mfascicularis,xtropicalis,Heart_mf_xl,scANVI O2O
Harmony,HE,mfascicularis to mmusculus,0.969287233941016,1,mfascicularis,mmusculus,Heart_hs_mf_mm_xl,Harmony HE
fastMNN,SH,hsapiens to mmulatta,0.9690347414635966,0.8333333333333334,hsapiens,mmulatta,Hippocampus_hs_mu_ss,fastMNN SH
fastMNN,O2O,hsapiens to mmulatta,0.9690058902237322,0.8333333333333334,hsapiens,mmulatta,Hippocampus_hs_mu_ss,fastMNN O2O
Harmony,O2O,hsapiens to mmusculus,0.96874836347143,1,hsapiens,mmusculus,Heart_hs_mf_mm,Harmony O2O
SeuratV4 RPCA,SH,xtropicalis to hsapiens,0.9686021593107826,1,xtropicalis,hsapiens,Heart_hs_mf_mm_xl,SeuratV4 RPCA SH
Harmony,O2O,mmulatta to hsapiens,0.968494583773554,1,mmulatta,hsapiens,Hippocampus_hs_mu_ss,Harmony O2O
scANVI,HE,xtropicalis to mfascicularis,0.9684768303884972,1,xtropicalis,mfascicularis,Heart_mf_xl,scANVI HE
scANVI,O2O,hsapiens to mfascicularis,0.9684366215556662,1,hsapiens,mfascicularis,Heart_hs_mf_mm_xl,scANVI O2O
scANVI,SH,hsapiens to mmusculus,0.9683826470419205,1,hsapiens,mmusculus,Heart_hs_mf_mm_xl_dr,scANVI SH
Scanorama,HE,sscrofa to hsapiens,0.9683706198500548,1,sscrofa,hsapiens,Hippocampus_hs_mu_ss,Scanorama HE
SeuratV4 CCA,HE,sscrofa to hsapiens,0.9681086652156076,1,sscrofa,hsapiens,Hippocampus_hs_mu_ss,SeuratV4 CCA HE
fastMNN,HE,xtropicalis to hsapiens,0.96806551151672,0.8571428571428571,xtropicalis,hsapiens,Heart_hs_mf_mm_xl_dr,fastMNN HE
SeuratV4 CCA,HE,mfascicularis to mmusculus,0.9680347237635274,1,mfascicularis,mmusculus,Heart_hs_mf_mm_xl,SeuratV4 CCA HE
Harmony,O2O,hsapiens to mmusculus,0.9678344672402408,1,hsapiens,mmusculus,Heart_hs_mf_mm_xl,Harmony O2O
fastMNN,SH,xtropicalis to hsapiens,0.9677491074981792,0.8571428571428571,xtropicalis,hsapiens,Heart_hs_mf_mm_xl_dr,fastMNN SH
scANVI,SH,xtropicalis to hsapiens,0.9675951290898752,1,xtropicalis,hsapiens,Heart_hs_mf_mm_xl,scANVI SH
scANVI,HE,drerio to mmusculus,0.9673191661362056,1,drerio,mmusculus,Heart_hs_mf_mm_xl_dr,scANVI HE
fastMNN,O2O,xtropicalis to mmusculus,0.967296905005803,0.8571428571428571,xtropicalis,mmusculus,Heart_hs_mf_mm_xl_dr,fastMNN O2O
SeuratV4 RPCA,HE,xtropicalis to hsapiens,0.967262648399248,1,xtropicalis,hsapiens,Heart_hs_mf_mm_xl,SeuratV4 RPCA HE
scANVI,HE,hsapiens to mfascicularis,0.9668546555048524,1,hsapiens,mfascicularis,Heart_hs_mf_mm_xl_dr,scANVI HE
scANVI,SH,mfascicularis to hsapiens,0.9668034756984047,1,mfascicularis,hsapiens,Heart_hs_mf_mm_xl,scANVI SH
fastMNN,O2O,xtropicalis to hsapiens,0.96679487409122,0.8571428571428571,xtropicalis,hsapiens,Heart_hs_mf_mm_xl_dr,fastMNN O2O
Scanorama,O2O,xtropicalis to hsapiens,0.9665225759460068,1,xtropicalis,hsapiens,Heart_hs_mf_mm_xl,Scanorama O2O
Harmony,SH,mfascicularis to mmusculus,0.9662705372146958,1,mfascicularis,mmusculus,Heart_hs_mf_mm_xl,Harmony SH
Harmony,HE,mmulatta to hsapiens,0.9658569578774316,1,mmulatta,hsapiens,Hippocampus_hs_mu_ss,Harmony HE
scANVI,HE,mfascicularis to hsapiens,0.9658327482225096,1,mfascicularis,hsapiens,Heart_hs_mf_mm_xl,scANVI HE
scANVI,SH,xtropicalis to mmusculus,0.9657833458020808,1,xtropicalis,mmusculus,Heart_hs_mf_mm_xl_dr,scANVI SH
scANVI,O2O,xtropicalis to mfascicularis,0.96571114416703,1,xtropicalis,mfascicularis,Heart_mf_xl,scANVI O2O
fastMNN,SH,hsapiens to mmusculus,0.9656264486801776,0.8181818181818182,hsapiens,mmusculus,Heart_hs_mm,fastMNN SH
scANVI,O2O,xtropicalis to mfascicularis,0.9653931544683876,1,xtropicalis,mfascicularis,Heart_hs_mf_mm_xl,scANVI O2O
SeuratV4 CCA,SH,hsapiens to mmusculus,0.9653060843119852,1,hsapiens,mmusculus,Heart_hs_mf_mm,SeuratV4 CCA SH
scANVI,SH,xtropicalis to mfascicularis,0.9651366553198294,1,xtropicalis,mfascicularis,Heart_mf_xl,scANVI SH
SeuratV4 RPCA,HE,xtropicalis to hsapiens,0.9650234863061392,1,xtropicalis,hsapiens,Heart_hs_mf_mm_xl_dr,SeuratV4 RPCA HE
Harmony,O2O,mfascicularis to mmusculus,0.9649464664059147,1,mfascicularis,mmusculus,Heart_hs_mf_mm_xl,Harmony O2O
Harmony,O2O,xtropicalis to hsapiens,0.964746466125856,1,xtropicalis,hsapiens,Heart_hs_xl,Harmony O2O
SeuratV4 CCA,O2O,sscrofa to hsapiens,0.9644048463096956,1,sscrofa,hsapiens,Hippocampus_hs_mu_ss,SeuratV4 CCA O2O
SeuratV4 CCA,HE,xtropicalis to hsapiens,0.9642010514303052,1,xtropicalis,hsapiens,Heart_hs_mf_mm_xl,SeuratV4 CCA HE
LIGER UINMF,HE,mmulatta to hsapiens,0.9641927639916968,1,mmulatta,hsapiens,Hippocampus_hs_mu_ss,LIGER UINMF HE
LIGER UINMF,SH,mmulatta to hsapiens,0.9641158456579108,1,mmulatta,hsapiens,Hippocampus_hs_mu_ss,LIGER UINMF SH
fastMNN,O2O,hsapiens to mmusculus,0.9638108248675362,0.6363636363636364,hsapiens,mmusculus,Heart_hs_mm,fastMNN O2O
SeuratV4 RPCA,SH,hsapiens to mmusculus,0.9637117678119602,1,hsapiens,mmusculus,Heart_hs_mm,SeuratV4 RPCA SH
fastMNN,HE,hsapiens to mmusculus,0.9637022702302456,0.7272727272727273,hsapiens,mmusculus,Heart_hs_mm,fastMNN HE
scANVI,HE,xtropicalis to mmusculus,0.9636876165515836,1,xtropicalis,mmusculus,Heart_hs_mf_mm_xl_dr,scANVI HE
SeuratV4 CCA,SH,mfascicularis to mmusculus,0.9636437448853102,1,mfascicularis,mmusculus,Heart_hs_mf_mm_xl,SeuratV4 CCA SH
SeuratV4 CCA,SH,sscrofa to hsapiens,0.9633534935173717,0.9090909090909092,sscrofa,hsapiens,Hippocampus_hs_mu_ss,SeuratV4 CCA SH
scANVI,SH,xtropicalis to mfascicularis,0.9632550966022392,1,xtropicalis,mfascicularis,Heart_hs_mf_mm_xl_dr,scANVI SH
fastMNN,SH,hsapiens to mmusculus,0.962755334154988,0.7272727272727273,hsapiens,mmusculus,Heart_hs_mf_mm,fastMNN SH
fastMNN,HE,hsapiens to mmusculus,0.9627397767469766,0.7272727272727273,hsapiens,mmusculus,Heart_hs_mf_mm,fastMNN HE
scANVI,O2O,mfascicularis to hsapiens,0.9626795945385102,1,mfascicularis,hsapiens,Heart_hs_mf_mm_xl_dr,scANVI O2O
scANVI,O2O,mfascicularis to hsapiens,0.9626211094343964,1,mfascicularis,hsapiens,Heart_hs_mf_mm_xl,scANVI O2O
scANVI,O2O,mmusculus to mfascicularis,0.96226946214263,1,mmusculus,mfascicularis,Heart_hs_mf_mm_xl_dr,scANVI O2O
scANVI,HE,hsapiens to mmulatta,0.962232323853172,1,hsapiens,mmulatta,Hippocampus_hs_mu_ss,scANVI HE
scANVI,O2O,drerio to mmusculus,0.9621718153904216,1,drerio,mmusculus,Heart_hs_mf_mm_xl_dr,scANVI O2O
SeuratV4 RPCA,HE,hsapiens to mmusculus,0.961646956621254,1,hsapiens,mmusculus,Heart_hs_mm,SeuratV4 RPCA HE
fastMNN,O2O,hsapiens to mmusculus,0.961470938353184,0.6363636363636364,hsapiens,mmusculus,Heart_hs_mf_mm,fastMNN O2O
fastMNN,SH,hsapiens to mmusculus,0.9613000237644224,0.7272727272727273,hsapiens,mmusculus,Heart_hs_mf_mm_xl,fastMNN SH
fastMNN,SH,hsapiens to mmusculus,0.9611750119038458,0.7272727272727273,hsapiens,mmusculus,Heart_hs_mf_mm_xl_dr,fastMNN SH
Harmony,HE,xtropicalis to mmusculus,0.9611472747570082,1,xtropicalis,mmusculus,Heart_hs_mf_mm_xl,Harmony HE
scANVI,O2O,mfascicularis to hsapiens,0.9610504169901946,1,mfascicularis,hsapiens,Heart_hs_mf,scANVI O2O
scANVI,HE,xtropicalis to mfascicularis,0.9609353096521256,1,xtropicalis,mfascicularis,Heart_hs_mf_mm_xl_dr,scANVI HE
scVI,HE,hsapiens to mmulatta,0.9605287164393456,1,hsapiens,mmulatta,Hippocampus_hs_mu_ss,scVI HE
fastMNN,HE,hsapiens to mmusculus,0.9603986001196692,0.7272727272727273,hsapiens,mmusculus,Heart_hs_mf_mm_xl,fastMNN HE
scANVI,HE,hsapiens to xtropicalis,0.95984316106084,1,hsapiens,xtropicalis,Heart_hs_xl,scANVI HE
scVI,SH,hsapiens to mmulatta,0.9596364598680208,1,hsapiens,mmulatta,Hippocampus_hs_mu_ss,scVI SH
SeuratV4 CCA,SH,xtropicalis to hsapiens,0.9595470136926776,1,xtropicalis,hsapiens,Heart_hs_mf_mm_xl,SeuratV4 CCA SH
SeuratV4 RPCA,HE,mmusculus to hsapiens,0.95942317927512,1,mmusculus,hsapiens,Pancreas_hs_mm,SeuratV4 RPCA HE
scANVI,HE,xtropicalis to mfascicularis,0.9593938037282518,1,xtropicalis,mfascicularis,Heart_hs_mf_mm_xl,scANVI HE
SeuratV4 RPCA,O2O,mmusculus to hsapiens,0.9593878817514804,1,mmusculus,hsapiens,Pancreas_hs_mm,SeuratV4 RPCA O2O
Scanorama,HE,xtropicalis to hsapiens,0.9591175263551748,1,xtropicalis,hsapiens,Heart_hs_mf_mm_xl,Scanorama HE
fastMNN,HE,hsapiens to mmusculus,0.9591077775651844,0.7272727272727273,hsapiens,mmusculus,Heart_hs_mf_mm_xl_dr,fastMNN HE
scANVI,HE,mmusculus to hsapiens,0.9590829639336478,1,mmusculus,hsapiens,Heart_hs_mf_mm_xl,scANVI HE
