from_species,test_acc,type_label,integration_method,input_file,homology_method,acc_prior,acc_loss,type,task_name
mmusculus,0.9507221750212403,original,fastMNN,baron_pancreas_metadata_gene_id_nost_many_higher_expr_fastMNN_integrated.h5ad,higher expression,0.9753610875106202,0.024638912489379883,fastMNN higher expression,Pancreas
mmusculus,0.9507221750212403,original,Scanorama,baron_pancreas_metadata_gene_id_nost_many_higher_homology_conf_scanorama_integrated.h5ad,stronger homology,0.9753610875106202,0.024638912489379883,Scanorama stronger homology,Pancreas
mmusculus,0.951571792693288,original,fastMNN,baron_pancreas_metadata_gene_id_nost_many_higher_homology_conf_fastMNN_integrated.h5ad,stronger homology,0.9753610875106202,0.023789294817332274,fastMNN stronger homology,Pancreas
mmusculus,0.9524214103653356,original,Scanorama,baron_pancreas_metadata_gene_id_nost_many_higher_expr_scanorama_integrated.h5ad,higher expression,0.9753610875106202,0.022939677145284665,Scanorama higher expression,Pancreas
mmusculus,0.9600679694137638,original,Harmony,baron_pancreas_metadata_gene_id_nost_one2one_only_harmony_integrated.h5ad,one2one only,0.9753610875106202,0.015293118096856406,Harmony one2one only,Pancreas
mmusculus,0.9600679694137638,original,SeuratV4 RPCA,baron_pancreas_metadata_gene_id_nost_one2one_only_seuratRPCA_integrated.h5ad,one2one only,0.9753610875106202,0.015293118096856406,SeuratV4 RPCA one2one only,Pancreas
hsapiens,0.976432935699738,original,Harmony,baron_pancreas_metadata_gene_id_nost_one2one_only_harmony_integrated.h5ad,one2one only,0.9834157695664824,0.006982833866744365,Harmony one2one only,Pancreas
hsapiens,0.9780331684608672,original,SeuratV4 CCA,baron_pancreas_metadata_gene_id_nost_one2one_only_seuratCCA_integrated.h5ad,one2one only,0.9834157695664824,0.00538260110561517,SeuratV4 CCA one2one only,Pancreas
hsapiens,0.97890602269421,original,Harmony,baron_pancreas_metadata_gene_id_nost_many_higher_homology_conf_harmony_integrated.h5ad,stronger homology,0.9834157695664824,0.004509746872272347,Harmony stronger homology,Pancreas
hsapiens,0.9794879255164388,original,fastMNN,baron_pancreas_metadata_gene_id_nost_many_higher_homology_conf_fastMNN_integrated.h5ad,stronger homology,0.9834157695664824,0.0039278440500435385,fastMNN stronger homology,Pancreas
hsapiens,0.9794879255164388,original,fastMNN,baron_pancreas_metadata_gene_id_nost_one2one_only_fastMNN_integrated.h5ad,one2one only,0.9834157695664824,0.0039278440500435385,fastMNN one2one only,Pancreas
hsapiens,0.979633401221996,original,fastMNN,baron_pancreas_metadata_gene_id_nost_many_higher_expr_fastMNN_integrated.h5ad,higher expression,0.9834157695664824,0.0037823683444863088,fastMNN higher expression,Pancreas
hsapiens,0.979633401221996,original,Harmony,baron_pancreas_metadata_gene_id_nost_many_higher_expr_harmony_integrated.h5ad,higher expression,0.9834157695664824,0.0037823683444863088,Harmony higher expression,Pancreas
mmusculus,0.97196261682243,original,Harmony,baron_pancreas_metadata_gene_id_nost_many_higher_expr_harmony_integrated.h5ad,higher expression,0.9753610875106202,0.003398470688190214,Harmony higher expression,Pancreas
mmusculus,0.97196261682243,original,SeuratV4 RPCA,baron_pancreas_metadata_gene_id_nost_many_higher_expr_seuratRPCA_integrated.h5ad,higher expression,0.9753610875106202,0.003398470688190214,SeuratV4 RPCA higher expression,Pancreas
mmusculus,0.97196261682243,original,SeuratV4 RPCA,baron_pancreas_metadata_gene_id_nost_many_higher_homology_conf_seuratRPCA_integrated.h5ad,stronger homology,0.9753610875106202,0.003398470688190214,SeuratV4 RPCA stronger homology,Pancreas
hsapiens,0.9803607797497818,original,Scanorama,baron_pancreas_metadata_gene_id_nost_many_higher_homology_conf_scanorama_integrated.h5ad,stronger homology,0.9834157695664824,0.003054989816700604,Scanorama stronger homology,Pancreas
hsapiens,0.980506255455339,original,Scanorama,baron_pancreas_metadata_gene_id_nost_one2one_only_scanorama_integrated.h5ad,one2one only,0.9834157695664824,0.002909514111143374,Scanorama one2one only,Pancreas
hsapiens,0.980506255455339,original,SeuratV4 CCA,baron_pancreas_metadata_gene_id_nost_many_higher_expr_seuratCCA_integrated.h5ad,higher expression,0.9834157695664824,0.002909514111143374,SeuratV4 CCA higher expression,Pancreas
hsapiens,0.980651731160896,original,Scanorama,baron_pancreas_metadata_gene_id_nost_many_higher_expr_scanorama_integrated.h5ad,higher expression,0.9834157695664824,0.0027640384055863665,Scanorama higher expression,Pancreas
hsapiens,0.981379109688682,original,SeuratV4 CCA,baron_pancreas_metadata_gene_id_nost_many_higher_homology_conf_seuratCCA_integrated.h5ad,stronger homology,0.9834157695664824,0.0020366598778003286,SeuratV4 CCA stronger homology,Pancreas
mmusculus,0.973661852166525,original,Harmony,baron_pancreas_metadata_gene_id_nost_many_higher_homology_conf_harmony_integrated.h5ad,stronger homology,0.9753610875106202,0.001699235344095218,Harmony stronger homology,Pancreas
mmusculus,0.9753610875106202,original,unintegrated,rliger_uinmf_metadata_many_higher_expr.h5ad,higher expression,0.9753610875106202,0,unintegrated higher expression,Pancreas
hsapiens,0.9837067209775968,original,scVI,baron_pancreas_metadata_gene_id_nost_one2one_only_scVI_integrated.h5ad,one2one only,0.9834157695664824,-2.9095141111445955e-4,scVI one2one only,Pancreas
hsapiens,0.9844340995053826,original,unintegrated,rliger_uinmf_metadata_one2one_only.h5ad,one2one only,0.9834157695664824,-0.0010183299389002753,unintegrated one2one only,Pancreas
hsapiens,0.9845795752109398,original,scVI,baron_pancreas_metadata_gene_id_nost_many_higher_expr_scVI_integrated.h5ad,higher expression,0.9834157695664824,-0.001163805644457394,scVI higher expression,Pancreas
hsapiens,0.9845795752109398,original,SeuratV4 RPCA,baron_pancreas_metadata_gene_id_nost_one2one_only_seuratRPCA_integrated.h5ad,one2one only,0.9834157695664824,-0.001163805644457394,SeuratV4 RPCA one2one only,Pancreas
hsapiens,0.9853069537387256,original,scVI,baron_pancreas_metadata_gene_id_nost_many_higher_homology_conf_scVI_integrated.h5ad,stronger homology,0.9834157695664824,-0.00189118417224321,scVI stronger homology,Pancreas
hsapiens,0.9861798079720686,original,unintegrated,rliger_uinmf_metadata_many_higher_homology_conf.h5ad,stronger homology,0.9834157695664824,-0.0027640384055862555,unintegrated stronger homology,Pancreas
hsapiens,0.9863252836776258,original,SeuratV4 RPCA,baron_pancreas_metadata_gene_id_nost_many_higher_expr_seuratRPCA_integrated.h5ad,higher expression,0.9834157695664824,-0.0029095141111434852,SeuratV4 RPCA higher expression,Pancreas
mmusculus,0.9787595581988106,original,scVI,baron_pancreas_metadata_gene_id_nost_many_higher_expr_scVI_integrated.h5ad,higher expression,0.9753610875106202,-0.003398470688190325,scVI higher expression,Pancreas
hsapiens,0.9869071864998544,original,SeuratV4 RPCA,baron_pancreas_metadata_gene_id_nost_many_higher_homology_conf_seuratRPCA_integrated.h5ad,stronger homology,0.9834157695664824,-0.0034914169333720713,SeuratV4 RPCA stronger homology,Pancreas
hsapiens,0.9871981379109688,original,unintegrated,baron_pancreas_metadata_gene_id_nost_many_higher_expr.h5ad,higher expression,0.9834157695664824,-0.00378236834448642,unintegrated higher expression,Pancreas
hsapiens,0.9874890893220832,original,unintegrated,rliger_uinmf_metadata_many_higher_expr.h5ad,higher expression,0.9834157695664824,-0.004073319755600879,unintegrated higher expression,Pancreas
hsapiens,0.9876345650276404,original,unintegrated,baron_pancreas_metadata_gene_id_nost_one2one_only.h5ad,one2one only,0.9834157695664824,-0.004218795461157998,unintegrated one2one only,Pancreas
hsapiens,0.9885074192609834,original,unintegrated,baron_pancreas_metadata_gene_id_nost_many_higher_homology_conf.h5ad,stronger homology,0.9834157695664824,-0.005091649694501044,unintegrated stronger homology,Pancreas
mmusculus,0.9804587935429055,original,unintegrated,rliger_uinmf_metadata_one2one_only.h5ad,one2one only,0.9753610875106202,-0.005097706032285321,unintegrated one2one only,Pancreas
mmusculus,0.9813084112149532,original,scVI,baron_pancreas_metadata_gene_id_nost_many_higher_homology_conf_scVI_integrated.h5ad,stronger homology,0.9753610875106202,-0.00594732370433293,scVI stronger homology,Pancreas
hsapiens,0.9903986034332266,original,scANVI,baron_pancreas_metadata_gene_id_nost_many_higher_expr_scANVI_integrated.h5ad,higher expression,0.9834157695664824,-0.0069828338667442535,scANVI higher expression,Pancreas
hsapiens,0.9908350305498982,original,scANVI,baron_pancreas_metadata_gene_id_nost_one2one_only_scANVI_integrated.h5ad,one2one only,0.9834157695664824,-0.007419260983415832,scANVI one2one only,Pancreas
mmusculus,0.9830076465590484,original,unintegrated,baron_pancreas_metadata_gene_id_nost_many_higher_expr.h5ad,higher expression,0.9753610875106202,-0.007646559048428148,unintegrated higher expression,Pancreas
hsapiens,0.9917078847832412,original,scANVI,baron_pancreas_metadata_gene_id_nost_many_higher_homology_conf_scANVI_integrated.h5ad,stronger homology,0.9834157695664824,-0.008292115216758877,scANVI stronger homology,Pancreas
mmusculus,0.983857264231096,original,unintegrated,baron_pancreas_metadata_gene_id_nost_one2one_only.h5ad,one2one only,0.9753610875106202,-0.008496176720475757,unintegrated one2one only,Pancreas
mmusculus,0.9847068819031436,original,unintegrated,baron_pancreas_metadata_gene_id_nost_many_higher_homology_conf.h5ad,stronger homology,0.9753610875106202,-0.009345794392523366,unintegrated stronger homology,Pancreas
mmusculus,0.9847068819031436,original,unintegrated,rliger_uinmf_metadata_many_higher_homology_conf.h5ad,stronger homology,0.9753610875106202,-0.009345794392523366,unintegrated stronger homology,Pancreas
mmusculus,0.9855564995751912,original,scVI,baron_pancreas_metadata_gene_id_nost_one2one_only_scVI_integrated.h5ad,one2one only,0.9753610875106202,-0.010195412064570974,scVI one2one only,Pancreas
mmusculus,0.9906542056074766,original,scANVI,baron_pancreas_metadata_gene_id_nost_many_higher_expr_scANVI_integrated.h5ad,higher expression,0.9753610875106202,-0.015293118096856406,scANVI higher expression,Pancreas
mmusculus,0.995751911639762,original,scANVI,baron_pancreas_metadata_gene_id_nost_one2one_only_scANVI_integrated.h5ad,one2one only,0.9753610875106202,-0.020390824129141727,scANVI one2one only,Pancreas
mmusculus,0.9966015293118096,original,scANVI,baron_pancreas_metadata_gene_id_nost_many_higher_homology_conf_scANVI_integrated.h5ad,stronger homology,0.9753610875106202,-0.021240441801189336,scANVI stronger homology,Pancreas
drerio,0.17075868170758682,original,LIGER,metadata_nf_one2one_only_LIGER_integrated.h5ad,one2one only,0.876702373052738,0.7059436913451512,LIGER one2one only,Embryo_dr_xt
drerio,0.2237810850949537,original,LIGER,metadata_nf_many_higher_homology_conf_LIGER_integrated.h5ad,stronger homology,0.876702373052738,0.6529212879577844,LIGER stronger homology,Embryo_dr_xt
drerio,0.2517142225171422,original,LIGER,metadata_nf_many_higher_expr_LIGER_integrated.h5ad,higher expression,0.876702373052738,0.6249881505355959,LIGER higher expression,Embryo_dr_xt
xtropicalis,0.23284832150655024,original,LIGER UINMF,rliger_uinmf_metadata_many_higher_expr_rligerUINMF_integrated.h5ad,higher expression,0.7565843340611353,0.5237360125545851,LIGER UINMF higher expression,Embryo_dr_xt
xtropicalis,0.25174843067685587,original,LIGER,metadata_nf_one2one_only_LIGER_integrated.h5ad,one2one only,0.7565843340611353,0.5048359033842795,LIGER one2one only,Embryo_dr_xt
xtropicalis,0.269471547489083,original,LIGER UINMF,rliger_uinmf_metadata_many_higher_homology_conf_rligerUINMF_integrated.h5ad,stronger homology,0.7565843340611353,0.48711278657205237,LIGER UINMF stronger homology,Embryo_dr_xt
xtropicalis,0.287117903930131,original,LIGER UINMF,rliger_uinmf_metadata_one2one_only_rligerUINMF_integrated.h5ad,one2one only,0.7565843340611353,0.46946643013100436,LIGER UINMF one2one only,Embryo_dr_xt
xtropicalis,0.32238503002183405,original,LIGER,metadata_nf_many_higher_homology_conf_LIGER_integrated.h5ad,stronger homology,0.7565843340611353,0.4341993040393013,LIGER stronger homology,Embryo_dr_xt
xtropicalis,0.32974549672489084,original,LIGER,metadata_nf_many_higher_expr_LIGER_integrated.h5ad,higher expression,0.7565843340611353,0.4268388373362445,LIGER higher expression,Embryo_dr_xt
drerio,0.4823521976806648,original,LIGER UINMF,rliger_uinmf_metadata_many_higher_homology_conf_rligerUINMF_integrated.h5ad,stronger homology,0.876702373052738,0.39435017537207323,LIGER UINMF stronger homology,Embryo_dr_xt
drerio,0.4918949663475211,original,LIGER UINMF,rliger_uinmf_metadata_one2one_only_rligerUINMF_integrated.h5ad,one2one only,0.876702373052738,0.3848074067052169,LIGER UINMF one2one only,Embryo_dr_xt
drerio,0.4922741492084558,original,LIGER UINMF,rliger_uinmf_metadata_many_higher_expr_rligerUINMF_integrated.h5ad,higher expression,0.876702373052738,0.3844282238442822,LIGER UINMF higher expression,Embryo_dr_xt
xtropicalis,0.4959061135371179,original,fastMNN,metadata_nf_one2one_only_fastMNN_integrated.h5ad,one2one only,0.7565843340611353,0.26067822052401746,fastMNN one2one only,Embryo_dr_xt
drerio,0.6292223591493664,original,fastMNN,metadata_nf_one2one_only_fastMNN_integrated.h5ad,one2one only,0.876702373052738,0.2474800139033716,fastMNN one2one only,Embryo_dr_xt
drerio,0.648876670774481,original,fastMNN,metadata_nf_many_higher_expr_fastMNN_integrated.h5ad,higher expression,0.876702373052738,0.22782570227825705,fastMNN higher expression,Embryo_dr_xt
drerio,0.6501090150725187,original,fastMNN,metadata_nf_many_higher_homology_conf_fastMNN_integrated.h5ad,stronger homology,0.876702373052738,0.2265933579802193,fastMNN stronger homology,Embryo_dr_xt
xtropicalis,0.5407341703056768,original,fastMNN,metadata_nf_many_higher_expr_fastMNN_integrated.h5ad,higher expression,0.7565843340611353,0.2158501637554585,fastMNN higher expression,Embryo_dr_xt
xtropicalis,0.5465679585152838,original,fastMNN,metadata_nf_many_higher_homology_conf_fastMNN_integrated.h5ad,stronger homology,0.7565843340611353,0.2100163755458515,fastMNN stronger homology,Embryo_dr_xt
drerio,0.7424716402818593,original,Scanorama,metadata_nf_one2one_only_scanorama_integrated.h5ad,one2one only,0.876702373052738,0.1342307327708787,Scanorama one2one only,Embryo_dr_xt
drerio,0.7539419218251335,original,Harmony,metadata_nf_one2one_only_harmony_integrated.h5ad,one2one only,0.876702373052738,0.12276045122760448,Harmony one2one only,Embryo_dr_xt
xtropicalis,0.6345097570960698,original,scVI,metadata_nf_one2one_only_scVI_integrated.h5ad,one2one only,0.7565843340611353,0.12207457696506552,scVI one2one only,Embryo_dr_xt
drerio,0.7706259677062597,original,Scanorama,metadata_nf_many_higher_homology_conf_scanorama_integrated.h5ad,stronger homology,0.876702373052738,0.10607640534647833,Scanorama stronger homology,Embryo_dr_xt
drerio,0.7722058962934876,original,Scanorama,metadata_nf_many_higher_expr_scanorama_integrated.h5ad,higher expression,0.876702373052738,0.10449647675925045,Scanorama higher expression,Embryo_dr_xt
drerio,0.7767560906247037,original,Harmony,metadata_nf_many_higher_expr_harmony_integrated.h5ad,higher expression,0.876702373052738,0.09994628242803427,Harmony higher expression,Embryo_dr_xt
drerio,0.7769140834834265,original,scANVI,metadata_nf_one2one_only_scANVI_integrated.h5ad,one2one only,0.876702373052738,0.09978828956931152,scANVI one2one only,Embryo_dr_xt
drerio,0.7808639049514962,original,Harmony,metadata_nf_many_higher_homology_conf_harmony_integrated.h5ad,stronger homology,0.876702373052738,0.09583846810124186,Harmony stronger homology,Embryo_dr_xt
xtropicalis,0.6644804175764192,original,Harmony,metadata_nf_one2one_only_harmony_integrated.h5ad,one2one only,0.7565843340611353,0.09210391648471616,Harmony one2one only,Embryo_dr_xt
drerio,0.7852561064239897,original,SeuratV4 RPCA,metadata_nf_one2one_only_seuratRPCA_integrated.h5ad,one2one only,0.876702373052738,0.09144626662874833,SeuratV4 RPCA one2one only,Embryo_dr_xt
drerio,0.7905330679053307,original,SeuratV4 CCA,metadata_nf_one2one_only_seuratCCA_integrated.h5ad,one2one only,0.876702373052738,0.08616930514740728,SeuratV4 CCA one2one only,Embryo_dr_xt
drerio,0.7918602079186021,original,scVI,metadata_nf_one2one_only_scVI_integrated.h5ad,one2one only,0.876702373052738,0.0848421651341359,scVI one2one only,Embryo_dr_xt
xtropicalis,0.6726852483624454,original,Scanorama,metadata_nf_one2one_only_scanorama_integrated.h5ad,one2one only,0.7565843340611353,0.08389908569868998,Scanorama one2one only,Embryo_dr_xt
xtropicalis,0.6753718613537117,original,scVI,metadata_nf_many_higher_expr_scVI_integrated.h5ad,higher expression,0.7565843340611353,0.0812124727074236,scVI higher expression,Embryo_dr_xt
xtropicalis,0.6764123908296943,original,SeuratV4 RPCA,metadata_nf_one2one_only_seuratRPCA_integrated.h5ad,one2one only,0.7565843340611353,0.08017194323144106,SeuratV4 RPCA one2one only,Embryo_dr_xt
drerio,0.7965999936802857,original,scANVI,metadata_nf_many_higher_homology_conf_scANVI_integrated.h5ad,stronger homology,0.876702373052738,0.08010237937245235,scANVI stronger homology,Embryo_dr_xt
xtropicalis,0.679670442139738,original,scVI,metadata_nf_many_higher_homology_conf_scVI_integrated.h5ad,stronger homology,0.7565843340611353,0.0769138919213973,scVI stronger homology,Embryo_dr_xt
xtropicalis,0.6821864765283843,original,SeuratV4 CCA,metadata_nf_one2one_only_seuratCCA_integrated.h5ad,one2one only,0.7565843340611353,0.07439785753275108,SeuratV4 CCA one2one only,Embryo_dr_xt
xtropicalis,0.6899136872270742,original,Harmony,metadata_nf_many_higher_expr_harmony_integrated.h5ad,higher expression,0.7565843340611353,0.0666706468340611,Harmony higher expression,Embryo_dr_xt
drerio,0.8139792081397921,original,scANVI,metadata_nf_many_higher_expr_scANVI_integrated.h5ad,higher expression,0.876702373052738,0.06272316491294594,scANVI higher expression,Embryo_dr_xt
xtropicalis,0.6959521697598253,original,Harmony,metadata_nf_many_higher_homology_conf_harmony_integrated.h5ad,stronger homology,0.7565843340611353,0.06063216430131002,Harmony stronger homology,Embryo_dr_xt
drerio,0.817771036749139,original,SeuratV4 CCA,metadata_nf_many_higher_homology_conf_seuratCCA_integrated.h5ad,stronger homology,0.876702373052738,0.058931336303599036,SeuratV4 CCA stronger homology,Embryo_dr_xt
drerio,0.8184030081840301,original,SeuratV4 RPCA,metadata_nf_many_higher_homology_conf_seuratRPCA_integrated.h5ad,stronger homology,0.876702373052738,0.058299364868707904,SeuratV4 RPCA stronger homology,Embryo_dr_xt
drerio,0.8196037539103233,original,SeuratV4 RPCA,metadata_nf_many_higher_expr_seuratRPCA_integrated.h5ad,higher expression,0.876702373052738,0.057098619142414764,SeuratV4 RPCA higher expression,Embryo_dr_xt
drerio,0.8200777324864916,original,scVI,metadata_nf_many_higher_expr_scVI_integrated.h5ad,higher expression,0.876702373052738,0.05662464056624639,scVI higher expression,Embryo_dr_xt
xtropicalis,0.7028264874454149,original,Scanorama,metadata_nf_many_higher_expr_scanorama_integrated.h5ad,higher expression,0.7565843340611353,0.05375784661572047,Scanorama higher expression,Embryo_dr_xt
drerio,0.8232691882326919,original,scVI,metadata_nf_many_higher_homology_conf_scVI_integrated.h5ad,stronger homology,0.876702373052738,0.05343318482004611,scVI stronger homology,Embryo_dr_xt
drerio,0.8257970739722564,original,SeuratV4 CCA,metadata_nf_many_higher_expr_seuratCCA_integrated.h5ad,higher expression,0.876702373052738,0.05090529908048158,SeuratV4 CCA higher expression,Embryo_dr_xt
xtropicalis,0.7085152838427947,original,SeuratV4 RPCA,metadata_nf_many_higher_homology_conf_seuratRPCA_integrated.h5ad,stronger homology,0.7565843340611353,0.048069050218340625,SeuratV4 RPCA stronger homology,Embryo_dr_xt
xtropicalis,0.7100590201965066,original,SeuratV4 RPCA,metadata_nf_many_higher_expr_seuratRPCA_integrated.h5ad,higher expression,0.7565843340611353,0.04652531386462877,SeuratV4 RPCA higher expression,Embryo_dr_xt
xtropicalis,0.7118671533842795,original,SeuratV4 CCA,metadata_nf_many_higher_expr_seuratCCA_integrated.h5ad,higher expression,0.7565843340611353,0.04471718067685582,SeuratV4 CCA higher expression,Embryo_dr_xt
xtropicalis,0.7121486080786026,original,SeuratV4 CCA,metadata_nf_many_higher_homology_conf_seuratCCA_integrated.h5ad,stronger homology,0.7565843340611353,0.04443572598253276,SeuratV4 CCA stronger homology,Embryo_dr_xt
xtropicalis,0.7124044759825328,original,Scanorama,metadata_nf_many_higher_homology_conf_scanorama_integrated.h5ad,stronger homology,0.7565843340611353,0.044179858078602585,Scanorama stronger homology,Embryo_dr_xt
xtropicalis,0.7361660753275109,original,scANVI,metadata_nf_one2one_only_scANVI_integrated.h5ad,one2one only,0.7565843340611353,0.02041825873362446,scANVI one2one only,Embryo_dr_xt
xtropicalis,0.7678851664847162,original,scANVI,metadata_nf_many_higher_expr_scANVI_integrated.h5ad,higher expression,0.7565843340611353,-0.01130083242358082,scANVI higher expression,Embryo_dr_xt
xtropicalis,0.7697359443231441,original,scANVI,metadata_nf_many_higher_homology_conf_scANVI_integrated.h5ad,stronger homology,0.7565843340611353,-0.013151610262008728,scANVI stronger homology,Embryo_dr_xt
sscrofa,0.3495729199620373,original,LIGER,metadata_nf_ca1sub_one2one_only_LIGER_integrated.h5ad,one2one only,0.9894739869431424,0.639901066981105,LIGER one2one only,Hippocampus
sscrofa,0.3555836760518823,original,LIGER,metadata_nf_ca1sub_many_higher_homology_conf_LIGER_integrated.h5ad,stronger homology,0.9894739869431424,0.6338903108912601,LIGER stronger homology,Hippocampus
sscrofa,0.3797704984038423,original,LIGER,metadata_nf_ca1sub_many_higher_homology_conf_LIGER_integrated.h5ad,stronger homology,0.9894739869431424,0.6097034885393,LIGER stronger homology,Hippocampus
sscrofa,0.383624284604987,original,LIGER,metadata_nf_ca1sub_many_higher_expr_LIGER_integrated.h5ad,higher expression,0.9894739869431424,0.6058497023381554,LIGER higher expression,Hippocampus
sscrofa,0.3846883897500791,original,LIGER,metadata_nf_ca1sub_many_higher_expr_LIGER_integrated.h5ad,higher expression,0.9894739869431424,0.6047855971930634,LIGER higher expression,Hippocampus
hsapiens,0.39946380697050937,original,LIGER,metadata_nf_ca1sub_one2one_only_LIGER_integrated.h5ad,one2one only,0.9931164408376204,0.5936526338671111,LIGER one2one only,Hippocampus
hsapiens,0.40257952322295487,original,LIGER,metadata_nf_ca1sub_many_higher_homology_conf_LIGER_integrated.h5ad,stronger homology,0.9931164408376204,0.5905369176146655,LIGER stronger homology,Hippocampus
hsapiens,0.4133516894910997,original,LIGER,metadata_nf_ca1sub_many_higher_expr_LIGER_integrated.h5ad,higher expression,0.9931164408376204,0.5797647513465207,LIGER higher expression,Hippocampus
hsapiens,0.4136898292394271,original,LIGER,metadata_nf_ca1sub_many_higher_expr_LIGER_integrated.h5ad,higher expression,0.9931164408376204,0.5794266115981933,LIGER higher expression,Hippocampus
hsapiens,0.5122092601985363,original,LIGER,metadata_nf_ca1sub_one2one_only_LIGER_integrated.h5ad,one2one only,0.9931164408376204,0.4809071806390841,LIGER one2one only,Hippocampus
hsapiens,0.6449774170953796,original,LIGER,metadata_nf_ca1sub_many_higher_homology_conf_LIGER_integrated.h5ad,stronger homology,0.9931164408376204,0.3481390237422408,LIGER stronger homology,Hippocampus
sscrofa,0.6871818469414167,original,LIGER,metadata_nf_ca1sub_one2one_only_LIGER_integrated.h5ad,one2one only,0.9894739869431424,0.30229214000172566,LIGER one2one only,Hippocampus
sscrofa,0.7703546058497024,original,LIGER UINMF,rliger_uinmf_metadata_many_higher_homology_conf_rligerUINMF_integrated.h5ad,stronger homology,0.9894739869431424,0.21911938109343998,LIGER UINMF stronger homology,Hippocampus
mmulatta,0.7355938210709749,original,LIGER UINMF,rliger_uinmf_metadata_many_higher_homology_conf_rligerUINMF_integrated.h5ad,stronger homology,0.950763505331246,0.21516968426027105,LIGER UINMF stronger homology,Hippocampus
mmulatta,0.7383406681040848,original,LIGER UINMF,rliger_uinmf_metadata_many_higher_homology_conf_rligerUINMF_integrated.h5ad,stronger homology,0.950763505331246,0.21242283722716115,LIGER UINMF stronger homology,Hippocampus
mmulatta,0.7393448917505981,original,LIGER UINMF,rliger_uinmf_metadata_many_higher_expr_rligerUINMF_integrated.h5ad,higher expression,0.950763505331246,0.21141861358064784,LIGER UINMF higher expression,Hippocampus
